AnimalID	DOB	Death	Removal.Date	Sex	Maternal.ID	Matriline	DamGen	SireGen	Natal.Group	Status	Birth.Season	Idcode
73J	12/4/98	NA	1/30/01	FEMALE	48B	004	48B	V79	F	REMOVE	1999	NA
41J	1/21/98	NA	1/30/01	MALE	E04	116	E04	G07	C	REMOVE	1998	NA
92H	1/18/98	NA	1/30/01	MALE	K79	116	K79	X16	BB	REMOVE	1998	NA
01L	3/4/99	NA	1/30/01	MALE	K79	116	K79	NA	BB	REMOVE	1999	NA
68K	12/3/98	NA	1/30/01	FEMALE	O30	116	O30	85A	C	REMOVE	1999	NA
75K	12/24/98	NA	1/30/01	MALE	T86	116	T86	V92	CC	REMOVE	1999	NA
17J	1/11/98	NA	1/30/01	MALE	V24	DM	V24	I47	R	REMOVE	1998	NA
88H	11/12/97	NA	1/30/01	MALE	V99	DM	NA	NA	BB	REMOVE	1998	NA
28K	1/4/99	NA	1/30/01	MALE	X20	076	X20	R70	F	REMOVE	1999	NA
86I	12/1/97	NA	1/30/01	MALE	X46	073	X46	51A	F	REMOVE	1998	NA
23I	12/21/97	NA	2/6/01	FEMALE	10C	116	10C	O15	R	REMOVE	1998	NA
16J	12/12/97	NA	2/6/01	MALE	54B	DM	54B	D52	R	REMOVE	1998	NA
02J	4/22/98	NA	2/6/01	MALE	78A	073	78A	X94	F	REMOVE	1998	NA
36I	1/26/98	NA	2/6/01	MALE	95A	091	95A	761	R	REMOVE	1998	NA
66K	2/8/99	NA	2/6/01	MALE	D83	DM	D83	S60	R	REMOVE	1999	NA
78K	1/29/99	NA	2/6/01	FEMALE	G68	DM	G68	K85	R	REMOVE	1999	NA
84I	12/7/97	NA	2/6/01	MALE	H64	116	H64	I64	S	REMOVE	1998	NA
94I	12/9/97	NA	2/6/01	FEMALE	J69	DM	J69	L83	R	REMOVE	1998	NA
85K	3/2/99	NA	2/6/01	MALE	J95	065	J95	658	F	REMOVE	1999	NA
64J	12/21/98	NA	2/6/01	FEMALE	K04	065	K04	NA	F	REMOVE	1999	NA
94J	12/21/98	NA	2/6/01	MALE	N86	058	N86	I13	H	REMOVE	1999	NA
42I	1/2/98	NA	2/6/01	FEMALE	S16	004	S16	S18	F	REMOVE	1998	NA
98I	1/29/98	NA	2/6/01	MALE	V65	004	V65	F46	F	REMOVE	1998	NA
90K	2/26/99	NA	2/6/01	MALE	X34	116	X34	C56	R	REMOVE	1999	NA
62I	1/1/98	NA	2/6/01	MALE	X86	076	X86	O23	F	REMOVE	1998	NA
44I	12/28/97	NA	2/6/01	MALE	X97	004	X97	R70	F	REMOVE	1998	NA
81J	12/6/98	NA	2/6/01	MALE	X97	004	X97	V79	F	REMOVE	1999	NA
16I	12/14/97	NA	2/6/01	MALE	Z07	065	Z07	O23	F	REMOVE	1998	NA
83J	12/20/98	NA	2/6/01	MALE	Z97	073	Z97	Z01	F	REMOVE	1999	NA
78H	2/6/98	NA	2/13/01	FEMALE	82C	116	82C	G62	CC	REMOVE	1998	NA
42J	2/13/98	NA	2/13/01	MALE	Z75	116	Z75	G07	CC	REMOVE	1998	NA
99H	1/20/98	NA	2/14/01	MALE	29B	073	29B	O23	F	REMOVE	1998	NA
69J	2/4/99	NA	2/14/01	MALE	29B	073	29B	V95	F	REMOVE	1999	NA
27K	2/4/99	NA	2/14/01	MALE	29B	073	V76	D78	F	REMOVE	1999	NA
07K	12/26/98	NA	2/14/01	FEMALE	73B	065	73B	32B	F	REMOVE	1999	NA
88J	11/24/98	NA	2/14/01	FEMALE	82A	065	82A	T29	F	REMOVE	1999	NA
77J	12/5/98	NA	2/14/01	MALE	C38	073	C38	K32	F	REMOVE	1999	NA
72J	12/21/98	NA	2/14/01	FEMALE	H74	065	H74	T57	F	REMOVE	1999	NA
52I	11/18/97	NA	2/14/01	FEMALE	I12	065	I12	658	F	REMOVE	1998	NA
79J	12/26/98	NA	2/14/01	MALE	K11	004	K11	R70	F	REMOVE	1999	NA
95H	1/20/98	NA	2/14/01	FEMALE	N16	116	N16	C61	S	REMOVE	1998	NA
18K	1/12/99	NA	2/14/01	MALE	O43	073	29B	L32	F	REMOVE	1999	NA
29K	3/8/99	NA	2/14/01	MALE	O70	065	O70	R70	F	REMOVE	1999	NA
33K	12/24/98	NA	2/14/01	MALE	R64	004	R64	X94	F	REMOVE	1999	NA
06K	4/23/99	NA	2/14/01	MALE	R65	065	R65	I06	F	REMOVE	1999	NA
44K	11/25/98	NA	2/14/01	MALE	R68	004	R68	X94	F	REMOVE	1999	NA
63J	3/4/99	NA	2/14/01	FEMALE	R79	076	R79	56C	F	REMOVE	1999	NA
97H	12/25/97	NA	2/14/01	MALE	T85	116	T85	S47	D	REMOVE	1998	NA
82J	12/6/98	NA	2/14/01	MALE	X46	073	X46	77A	F	REMOVE	1999	NA
37K	12/27/98	NA	2/14/01	FEMALE	Z11	065	Z11	H87	F	REMOVE	1999	NA
85I	11/13/97	NA	2/14/01	FEMALE	Z99	116	Z99	V45	S	REMOVE	1998	NA
37I	2/20/98	NA	2/22/01	FEMALE	02A	DM	02A	D52	R	REMOVE	1998	NA
95I	3/30/98	NA	2/22/01	MALE	15C	DM	15C	H91	R	REMOVE	1998	NA
54J	12/4/98	NA	2/22/01	MALE	42B	065	42B	S76	F	REMOVE	1999	NA
33I	1/11/98	NA	2/22/01	MALE	47A	NA	47A	85A	D	REMOVE	1998	NA
21J	11/17/97	NA	2/22/01	MALE	A71	073	A71	R70	F	REMOVE	1998	NA
60J	12/24/98	NA	2/22/01	MALE	J92	004	J92	R70	F	REMOVE	1999	NA
24J	2/23/98	NA	2/22/01	FEMALE	J95	065	J95	J26	F	REMOVE	1998	NA
15K	11/20/98	NA	2/22/01	FEMALE	K00	065	K00	X94	F	REMOVE	1999	NA
15J	3/24/98	NA	2/22/01	MALE	K28	DM	K28	D52	R	REMOVE	1998	NA
72K	3/1/99	NA	2/22/01	FEMALE	K81	116	K81	L01	R	REMOVE	1999	NA
60K	12/5/98	NA	2/22/01	FEMALE	K84	DM	K84	96B	R	REMOVE	1999	NA
87H	12/26/97	NA	2/22/01	FEMALE	O27	116	O27	D38	BB	REMOVE	1998	NA
83I	2/11/98	NA	2/22/01	MALE	O35	116	35	X79	S	REMOVE	1998	NA
46J	12/25/97	NA	2/22/01	MALE	O36	NA	O36	V45	D	REMOVE	1998	NA
53K	12/24/98	NA	2/22/01	FEMALE	O96	DM	O96	T53	R	REMOVE	1999	NA
20I	12/15/97	NA	2/22/01	FEMALE	S54	DM	S54	K14	R	REMOVE	1998	NA
54K	12/27/98	NA	2/22/01	FEMALE	S54	DM	S54	Z71	R	REMOVE	1999	NA
52K	12/13/98	NA	2/22/01	FEMALE	S96	DM	NA	Z71	R	REMOVE	1999	NA
15L	3/8/99	NA	2/22/01	MALE	T12	073	T12	E05	E	REMOVE	1999	NA
58K	12/26/98	NA	2/22/01	MALE	V44	DM	V44	T53	R	REMOVE	1999	NA
04J	2/13/98	NA	2/22/01	MALE	V60	DM	V60	T30	R	REMOVE	1998	NA
63K	12/7/98	NA	2/22/01	MALE	X37	DM	X37	X61	R	REMOVE	1999	NA
14J	12/26/97	NA	2/22/01	MALE	X91	091	X91	K14	R	REMOVE	1998	NA
13K	4/12/99	NA	4/5/01	MALE	61A	065	61A	R70	F	REMOVE	1999	NA
64I	12/22/97	NA	4/5/01	MALE	C38	073	C38	H87	F	REMOVE	1998	NA
59I	1/23/98	NA	4/5/01	MALE	O43	073	O43	R70	F	REMOVE	1998	NA
06L	12/29/98	NA	4/5/01	FEMALE	V60	DM	V60	X58	R	REMOVE	1999	NA
17I	11/25/97	NA	4/6/01	MALE	07A	073	07A	G23	F	REMOVE	1998	NA
65J	12/27/98	NA	4/10/01	FEMALE	N12	065	N12	V95	F	REMOVE	1999	NA
02I	12/14/97	NA	4/10/01	MALE	O52	065	O52	S18	F	REMOVE	1998	NA
12L	1/1/99	NA	4/10/01	FEMALE	O69	073	O69	Z01	F	REMOVE	1999	NA
95J	11/14/98	NA	4/10/01	MALE	Z14	065	Z14	K01	F	REMOVE	1999	NA
02L	1/27/99	NA	4/11/01	MALE	V91	073	V91	E05	E	REMOVE	1999	NA
32I	1/9/98	NA	4/19/01	FEMALE	32A	DM	32A	V45	R	REMOVE	1998	NA
80H	12/4/97	NA	4/19/01	FEMALE	37B	DM	37B	C61	BB	REMOVE	1998	NA
04K	3/4/99	NA	4/19/01	MALE	99A	065	99A	D71	F	REMOVE	1999	NA
84H	12/26/97	NA	4/19/01	MALE	C63	DM	C63	V45	BB	REMOVE	1998	NA
86H	1/11/98	NA	4/19/01	MALE	K80	116	K80	R67	C	REMOVE	1998	NA
26J	1/11/98	NA	4/19/01	MALE	N13	073	N13	T16	F	REMOVE	1998	NA
20L	2/5/99	NA	4/19/01	MALE	N37	DM	N37	E54	BB	REMOVE	1999	NA
23K	12/8/98	NA	4/19/01	FEMALE	V99	DM	V99	X57	BB	REMOVE	1999	NA
62K	2/23/99	NA	4/19/01	MALE	X28	DM	X28	S60	R	REMOVE	1999	NA
93K	1/19/99	NA	4/19/01	MALE	X33	DM	X33	E54	BB	REMOVE	1999	NA
55I	1/12/98	NA	4/20/01	MALE	K11	004	K11	X94	F	REMOVE	1998	NA
30I	1/17/98	NA	4/24/01	MALE	94B	116	94B	G09	R	REMOVE	1998	NA
39K	12/3/98	NA	4/24/01	FEMALE	B75	065	B75	J21	F	REMOVE	1999	NA
53J	1/6/99	NA	4/24/01	MALE	I12	065	I12	H87	F	REMOVE	1999	NA
10I	4/22/98	NA	4/24/01	FEMALE	R71	065	R71	R70	F	REMOVE	1998	NA
40J	12/13/97	NA	4/24/01	FEMALE	V36	004	V36	L64	F	REMOVE	1998	NA
58J	12/6/98	NA	4/24/01	MALE	Z07	065	Z07	S77	F	REMOVE	1999	NA
49J	3/23/98	NA	4/25/01	FEMALE	V37	065	V37	D11	F	REMOVE	1998	NA
89J	12/13/98	NA	4/25/01	MALE	X86	076	X86	R70	F	REMOVE	1999	NA
74I	3/23/98	NA	4/26/01	MALE	11C	DM	11C	G62	BB	REMOVE	1998	NA
77K	2/22/99	NA	4/26/01	FEMALE	K80	116	K80	86A	C	REMOVE	1999	NA
08L	11/9/98	NA	4/26/01	FEMALE	L29	DM	L29	E54	BB	REMOVE	1999	NA
01J	1/11/98	NA	4/26/01	FEMALE	O56	073	O56	X94	F	REMOVE	1998	NA
38K	12/12/98	NA	4/27/01	FEMALE	56A	065	56A	23A	F	REMOVE	1999	NA
84K	12/4/98	NA	5/1/01	FEMALE	59A	065	59A	G09	F	REMOVE	1999	NA
16K	12/28/98	NA	5/3/01	FEMALE	24B	065	24B	H87	F	REMOVE	1999	NA
55K	12/11/98	NA	5/4/01	FEMALE	X91	091	X91	X61	R	REMOVE	1999	NA
I9981B	1/19/99	NA	7/1/01	FEMALE	81B	076	NA	NA	F	REMOVE	1999	NA
I99L66	1/26/99	NA	7/1/01	FEMALE	L66	22	NA	NA	V	REMOVE	1999	NA
I99V76	12/24/98	NA	7/1/01	MALE	V76	073	NA	NA	F	REMOVE	1999	NA
C87	1/26/81	NA	8/16/01	FEMALE	FB	065	NA	NA	F	REMOVE	1981	NA
J85	12/31/85	NA	1/17/02	FEMALE	573	073	NA	NA	F	REMOVE	1986	NA
A87	3/14/80	NA	1/17/02	MALE	672	22	NA	NA	L	REMOVE	1980	NA
13E	3/16/95	NA	1/17/02	MALE	678	116	678	NA	S	REMOVE	1995	NA
54I	1/4/98	NA	1/17/02	FEMALE	00B	073	00B	51A	F	REMOVE	1998	NA
30K	1/9/99	NA	1/17/02	MALE	04E	073	04E	G09	F	REMOVE	1999	NA
10N	11/17/99	NA	1/17/02	MALE	37D	076	37D	Z01	F	REMOVE	2000	NA
85L	12/29/99	NA	1/17/02	MALE	39A	116	39A	25B	C	REMOVE	2000	NA
50L	12/11/99	NA	1/17/02	MALE	40A	116	40A	V83	C	REMOVE	2000	NA
92L	12/28/99	NA	1/17/02	MALE	53B	116	53B	49A	C	REMOVE	2000	NA
I0254I	12/26/01	NA	1/17/02	MALE	54I	073	NA	NA	L	REMOVE	2002	NA
59N	12/26/99	NA	1/17/02	MALE	55F	116	55F	E54	C	REMOVE	2000	NA
38N	12/3/99	NA	1/17/02	FEMALE	56A	065	56A	E54	F	REMOVE	2000	NA
86K	2/8/99	NA	1/17/02	MALE	74C	073	74C	Z01	F	REMOVE	1999	NA
22L	11/25/99	NA	1/17/02	FEMALE	78A	073	78A	56C	F	REMOVE	2000	NA
51L	1/28/00	NA	1/17/02	FEMALE	80A	073	80A	X94	I	REMOVE	2000	NA
32N	12/2/99	NA	1/17/02	FEMALE	82C	116	82C	32C	C	REMOVE	2000	NA
69L	11/21/99	NA	1/17/02	MALE	93A	116	93A	T16	BB	REMOVE	2000	NA
00N	1/20/00	NA	1/17/02	FEMALE	93D	073	93D	52B	F	REMOVE	2000	NA
28O	12/20/99	NA	1/17/02	MALE	98C	116	98C	32C	C	REMOVE	2000	NA
33N	1/13/00	NA	1/17/02	MALE	99A	065	99A	E05	F	REMOVE	2000	NA
O70	2/7/88	NA	1/17/02	FEMALE	B72	065	NA	C98	F	REMOVE	1988	NA
J47	4/22/85	NA	1/17/02	MALE	B75	065	B75	NA	F	REMOVE	1985	NA
70B	2/21/94	NA	1/17/02	FEMALE	E65	073	E65	O81	F	REMOVE	1994	NA
35K	1/19/99	NA	1/17/02	MALE	F72	073	F72	51A	F	REMOVE	1999	NA
F27	1/31/82	NA	1/17/02	MALE	FB	065	NA	NA	F	REMOVE	1982	NA
X51	1/28/91	NA	1/17/02	FEMALE	I88	073	I88	E54	F	REMOVE	1991	NA
79K	2/5/99	NA	1/17/02	MALE	J66	116	J66	K85	R	REMOVE	1999	NA
07O	1/1/00	NA	1/17/02	MALE	J66	116	J66	T53	J	REMOVE	2000	NA
67I	12/8/97	NA	1/17/02	MALE	J85	073	J85	V79	F	REMOVE	1998	NA
92J	12/5/98	NA	1/17/02	FEMALE	J85	073	J85	Z01	F	REMOVE	1999	NA
I02J85	12/15/01	NA	1/17/02	FEMALE	J85	073	NA	NA	F	REMOVE	2002	NA
13O	12/17/99	NA	1/17/02	MALE	K00	065	K00	Z06	F	REMOVE	2000	NA
63N	2/24/00	NA	1/17/02	MALE	L29	DM	L29	X61	B	REMOVE	2000	NA
Z78	1/13/92	NA	1/17/02	FEMALE	N13	073	N13	I78	F	REMOVE	1992	NA
07F	1/26/96	NA	1/17/02	FEMALE	N13	073	N13	G37	F	REMOVE	1996	NA
Z52	1/5/92	NA	1/17/02	FEMALE	N20	116	N20	NA	R	REMOVE	1992	NA
09I	11/29/97	NA	1/17/02	FEMALE	O54	004	O54	R70	F	REMOVE	1998	NA
I02O70	12/18/01	NA	1/17/02	MALE	O70	065	NA	NA	F	REMOVE	2002	NA
18A	4/7/92	NA	1/17/02	FEMALE	O87	073	O87	K22	F	REMOVE	1992	NA
I02R68	12/28/01	NA	1/17/02	MALE	R68	004	NA	NA	F	REMOVE	2002	NA
64L	1/13/00	NA	1/17/02	FEMALE	T86	116	T86	49A	CC	REMOVE	2000	NA
18N	1/25/00	NA	1/17/02	MALE	V04	073	V04	Z10	F	REMOVE	2000	NA
91L	12/17/99	NA	1/17/02	MALE	V05	073	V05	32B	F	REMOVE	2000	NA
41I	2/1/98	NA	1/17/02	FEMALE	V76	073	NA	NA	F	REMOVE	1998	NA
16L	12/22/98	NA	1/17/02	FEMALE	V81	073	V81	S78	E	REMOVE	1999	NA
56L	2/17/00	NA	1/17/02	MALE	V99	DM	V99	E54	B	REMOVE	2000	NA
27O	12/20/99	NA	1/17/02	FEMALE	X33	DM	X33	J86	B	REMOVE	2000	NA
I02Z52	11/24/01	NA	1/17/02	MALE	Z52	116	NA	NA	J	REMOVE	2002	NA
52L	11/13/99	NA	1/17/02	FEMALE	Z75	116	Z75	85A	C	REMOVE	2000	NA
52J	11/25/98	NA	1/17/02	FEMALE	Z78	073	Z78	V79	F	REMOVE	1999	NA
30N	11/27/99	NA	1/18/02	MALE	79C	065	79C	51A	F	REMOVE	2000	NA
Z19	1/7/92	NA	1/23/02	MALE	897	116	897	E93	R	REMOVE	1992	NA
84L	12/27/99	NA	1/23/02	FEMALE	05A	073	05A	56C	I	REMOVE	2000	NA
I0208F	11/24/01	NA	1/23/02	MALE	08F	073	NA	NA	F	REMOVE	2002	NA
70L	11/28/99	NA	1/23/02	FEMALE	11C	DM	11C	90B	B	REMOVE	2000	NA
78L	11/29/99	NA	1/23/02	MALE	13C	073	13C	X94	I	REMOVE	2000	NA
49I	4/13/98	NA	1/23/02	MALE	14C	004	14C	L43	F	REMOVE	1998	NA
60N	12/25/99	NA	1/23/02	MALE	31D	DM	31D	X61	B	REMOVE	2000	NA
55N	11/20/99	NA	1/23/02	MALE	34B	076	34B	56C	F	REMOVE	2000	NA
73L	11/6/99	NA	1/23/02	MALE	36B	116	36B	T16	B	REMOVE	2000	NA
57L	12/2/99	NA	1/23/02	MALE	37B	DM	37B	J21	B	REMOVE	2000	NA
43L	1/17/00	NA	1/23/02	MALE	39B	065	39B	Z06	F	REMOVE	2000	NA
64N	2/17/00	NA	1/23/02	FEMALE	50D	116	50D	90B	C	REMOVE	2000	NA
29N	12/18/99	NA	1/23/02	MALE	54D	065	54D	54A	F	REMOVE	2000	NA
98N	12/20/99	NA	1/23/02	FEMALE	56D	073	56D	56C	F	REMOVE	2000	NA
05N	12/15/99	NA	1/23/02	FEMALE	57A	004	57A	90A	F	REMOVE	2000	NA
I0257A	11/12/01	NA	1/23/02	FEMALE	57A	004	NA	NA	F	REMOVE	2002	NA
07N	1/22/00	NA	1/23/02	FEMALE	61A	065	61A	51A	F	REMOVE	2000	NA
31N	11/25/99	NA	1/23/02	FEMALE	65A	076	65A	V79	F	REMOVE	2000	NA
93J	1/6/99	NA	1/23/02	MALE	80A	073	80A	X94	F	REMOVE	1999	NA
36N	12/18/99	NA	1/23/02	FEMALE	82A	065	82A	T29	F	REMOVE	2000	NA
K07	2/20/86	NA	1/23/02	FEMALE	B72	065	NA	722	F	REMOVE	1986	NA
66L	11/22/99	NA	1/23/02	FEMALE	E04	116	E04	49A	C	REMOVE	2000	NA
66N	11/3/99	NA	1/23/02	FEMALE	E55	116	E55	E54	B	REMOVE	2000	NA
T54	1/27/90	NA	1/23/02	MALE	G11	116	G11	H92	S	REMOVE	1990	NA
54A	2/12/93	NA	1/23/02	MALE	H45	DM	H45	I37	R	REMOVE	1993	NA
39N	1/29/00	NA	1/23/02	FEMALE	H74	065	H74	D71	F	REMOVE	2000	NA
08F	12/20/95	NA	1/23/02	FEMALE	J28	073	J28	O81	F	REMOVE	1996	NA
19N	11/17/99	NA	1/23/02	FEMALE	J28	073	J28	R70	F	REMOVE	2000	NA
01O	12/7/99	NA	1/23/02	FEMALE	J85	073	J85	51A	F	REMOVE	2000	NA
09F	2/4/96	NA	1/23/02	FEMALE	J89	073	J89	O08	F	REMOVE	1996	NA
I02K07	12/2/01	NA	1/23/02	FEMALE	K07	065	NA	NA	F	REMOVE	2002	NA
59L	3/2/00	NA	1/23/02	MALE	K80	116	K80	49A	C	REMOVE	2000	NA
98L	12/27/99	NA	1/23/02	FEMALE	K89	116	K89	79B	BB	REMOVE	2000	NA
46D	1/23/95	NA	1/23/02	MALE	O33	DM	O33	J19	R	REMOVE	1995	NA
13C	12/22/93	NA	1/23/02	FEMALE	O56	073	O56	J26	F	REMOVE	1994	NA
13L	2/22/99	NA	1/23/02	MALE	O75	004	O75	R70	F	REMOVE	1999	NA
58L	1/6/00	NA	1/23/02	MALE	R64	004	R64	51A	F	REMOVE	2000	NA
37L	1/3/00	NA	1/23/02	FEMALE	R74	073	R74	Z46	I	REMOVE	2000	NA
57A	1/28/93	NA	1/23/02	FEMALE	R78	004	R78	983	F	REMOVE	1993	NA
62L	12/18/99	NA	1/23/02	FEMALE	R78	004	R78	X81	F	REMOVE	2000	NA
58I	11/21/97	NA	1/23/02	FEMALE	S59	076	S59	S77	F	REMOVE	1998	NA
34K	12/13/98	NA	1/23/02	FEMALE	S59	076	S59	X94	F	REMOVE	1999	NA
71L	12/20/99	NA	1/23/02	MALE	S59	076	S59	90A	F	REMOVE	2000	NA
68L	1/21/00	NA	1/23/02	MALE	T27	073	T27	R70	F	REMOVE	2000	NA
24L	1/12/00	NA	1/23/02	MALE	T28	073	T28	X79	H	REMOVE	2000	NA
51I	11/15/97	NA	1/23/02	MALE	V82	073	V82	T82	F	REMOVE	1998	NA
12K	12/20/98	NA	1/23/02	FEMALE	V82	073	V82	32B	F	REMOVE	1999	NA
09N	12/23/99	NA	1/23/02	MALE	Z14	065	Z14	L64	F	REMOVE	2000	NA
46L	12/27/99	NA	1/23/02	FEMALE	Z97	073	Z97	77A	F	REMOVE	2000	NA
I0180A	2/4/01	NA	1/24/02	FEMALE	80A	073	NA	NA	II	REMOVE	2001	NA
72L	2/3/00	NA	1/24/02	MALE	F72	073	F72	X77	F	REMOVE	2000	NA
05O	1/7/00	NA	1/24/02	MALE	O55	076	O55	32B	F	REMOVE	2000	NA
I01V82	12/25/00	NA	1/24/02	FEMALE	V82	073	NA	NA	II	REMOVE	2001	NA
61L	12/27/99	NA	1/24/02	MALE	Z78	073	Z78	V79	F	REMOVE	2000	NA
V04	1/15/90	NA	1/29/02	FEMALE	573	073	NA	F32	F	REMOVE	1990	NA
O69	2/16/88	NA	1/29/02	FEMALE	929	073	929	F27	F	REMOVE	1988	NA
26N	2/6/00	NA	1/29/02	MALE	00B	073	00B	56C	F	REMOVE	2000	NA
I0100F	12/20/00	NA	1/29/02	FEMALE	00F	004	NA	NA	F	REMOVE	2001	NA
42K	12/15/98	NA	1/29/02	FEMALE	70B	073	70B	43A	F	REMOVE	1999	NA
96I	12/22/97	NA	1/29/02	FEMALE	B04	004	B04	S94	F	REMOVE	1998	NA
35L	1/30/00	NA	1/29/02	MALE	N13	073	N13	Z19	F	REMOVE	2000	NA
I01O43	1/21/01	NA	1/29/02	MALE	O43	073	NA	NA	LL	REMOVE	2001	NA
85J	11/16/98	NA	1/29/02	FEMALE	O44	004	O44	51A	F	REMOVE	1999	NA
53L	11/28/99	NA	1/29/02	MALE	R59	065	R59	F46	F	REMOVE	2000	NA
00F	2/20/96	NA	1/29/02	FEMALE	R64	004	R64	O81	F	REMOVE	1996	NA
I02V04	1/19/02	NA	1/29/02	MALE	V04	073	NA	NA	F	REMOVE	2002	NA
54L	12/1/99	NA	1/30/02	FEMALE	13D	DM	13D	X61	B	REMOVE	2000	NA
03L	12/20/98	NA	1/30/02	FEMALE	18A	073	18A	Z01	F	REMOVE	1999	NA
22N	11/26/99	NA	1/30/02	MALE	55A	076	55A	27B	F	REMOVE	2000	NA
I0271E	1/5/02	NA	1/30/02	FEMALE	71E	065	NA	NA	F	REMOVE	2002	NA
23N	12/30/99	NA	1/30/02	MALE	81B	076	81B	E54	F	REMOVE	2000	NA
23L	12/21/99	NA	1/30/02	MALE	A71	073	A71	L22	H	REMOVE	2000	NA
06N	11/26/99	NA	1/30/02	MALE	I50	076	I50	77A	F	REMOVE	2000	NA
I01O69	12/18/00	NA	1/30/02	MALE	O69	073	NA	NA	F	REMOVE	2001	NA
41L	1/20/00	NA	1/30/02	MALE	S16	004	S16	G23	F	REMOVE	2000	NA
14K	12/12/98	NA	1/30/02	FEMALE	X51	073	X51	S77	F	REMOVE	1999	NA
71E	1/14/96	NA	1/30/02	FEMALE	Z07	065	Z07	R70	F	REMOVE	1996	NA
I0171E	12/17/00	NA	1/31/02	MALE	71E	065	NA	NA	F	REMOVE	2001	NA
02C	1/17/94	NA	1/31/02	MALE	D92	DM	D92	N60	R	REMOVE	1994	NA
20N	2/6/00	NA	1/31/02	FEMALE	X20	076	X20	R70	F	REMOVE	2000	NA
14N	3/25/00	NA	2/1/02	FEMALE	985	065	985	658	F	REMOVE	2000	NA
24N	1/6/00	NA	2/1/02	MALE	15E	22	15E	X58	V	REMOVE	2000	NA
11O	1/19/00	NA	2/1/02	MALE	21C	004	21C	Z06	F	REMOVE	2000	NA
15I	5/8/98	NA	2/1/02	FEMALE	22B	073	22B	77A	F	REMOVE	1998	NA
97L	11/11/99	NA	2/1/02	FEMALE	41C	DM	41C	T16	B	REMOVE	2000	NA
I0256D	1/5/02	NA	2/1/02	MALE	56D	073	NA	NA	F	REMOVE	2002	NA
50C	1/2/94	NA	2/1/02	MALE	C38	073	C38	E54	F	REMOVE	1994	NA
Z90	1/4/92	NA	2/1/02	MALE	D82	116	D82	G27	S	REMOVE	1992	NA
10O	1/14/00	NA	2/1/02	MALE	J41	22	J41	X57	V	REMOVE	2000	NA
56D	3/6/95	NA	2/1/02	FEMALE	N13	073	N13	O81	F	REMOVE	1995	NA
28L	1/4/00	NA	2/1/02	MALE	T03	22	T03	L07	V	REMOVE	2000	NA
02N	12/17/99	NA	2/1/02	MALE	Z15	065	Z15	A87	F	REMOVE	2000	NA
F72	2/5/83	NA	2/5/02	FEMALE	573	073	NA	NA	F	REMOVE	1983	NA
00A	2/16/92	NA	2/5/02	MALE	971	DM	971	H86	R	REMOVE	1992	NA
57N	12/8/99	NA	2/6/02	MALE	31A	DM	31A	O81	R	REMOVE	2000	NA
09O	2/16/00	NA	2/6/02	FEMALE	39F	DM	39F	F00	R	REMOVE	2000	NA
80K	2/11/99	NA	2/6/02	MALE	47A	NA	47A	V29	D	REMOVE	1999	NA
79L	12/20/99	NA	2/6/02	MALE	47A	NA	47A	43A	D	REMOVE	2000	NA
02O	3/2/00	NA	2/6/02	MALE	59F	091	59F	F00	R	REMOVE	2000	NA
77L	12/23/99	NA	2/6/02	MALE	67C	DM	67C	O19	R	REMOVE	2000	NA
52N	12/16/99	NA	2/6/02	MALE	76D	091	76D	S60	R	REMOVE	2000	NA
51N	1/12/00	NA	2/6/02	FEMALE	83C	116	83C	X98	G	REMOVE	2000	NA
42N	2/18/00	NA	2/6/02	MALE	87F	DM	87F	O19	R	REMOVE	2000	NA
81N	4/13/00	NA	2/6/02	FEMALE	94B	116	94B	Z90	J	REMOVE	2000	NA
69N	12/6/99	NA	2/6/02	MALE	D07	091	NA	NA	R	REMOVE	2000	NA
16O	1/26/00	NA	2/6/02	FEMALE	D83	DM	D83	33A	R	REMOVE	2000	NA
96L	11/18/99	NA	2/6/02	MALE	G80	NA	G80	85A	D	REMOVE	2000	NA
39I	2/13/98	NA	2/6/02	FEMALE	J66	116	J66	K85	R	REMOVE	1998	NA
76N	1/6/00	NA	2/6/02	MALE	K81	116	K81	T16	R	REMOVE	2000	NA
31C	11/27/93	NA	2/6/02	MALE	O33	DM	O33	G21	R	REMOVE	1994	NA
49N	11/15/99	NA	2/6/02	MALE	R27	116	R27	49A	C	REMOVE	2000	NA
45K	12/9/98	NA	2/6/02	FEMALE	S55	116	S55	Z71	R	REMOVE	1999	NA
I01S55	12/5/00	NA	2/6/02	FEMALE	S55	116	NA	NA	JJ	REMOVE	2001	NA
70N	12/20/99	NA	2/6/02	MALE	S73	DM	S73	L83	R	REMOVE	2000	NA
45N	11/3/99	NA	2/6/02	FEMALE	T85	116	T85	O49	D	REMOVE	2000	NA
95N	3/1/00	NA	2/6/02	MALE	T95	091	T95	C56	R	REMOVE	2000	NA
92N	11/18/99	NA	2/6/02	MALE	X55	NA	X55	X98	D	REMOVE	2000	NA
79N	12/27/99	NA	2/6/02	MALE	Z52	116	Z52	V83	J	REMOVE	2000	NA
55L	1/19/00	NA	2/6/02	MALE	Z67	DM	Z67	V83	B	REMOVE	2000	NA
18O	2/24/00	NA	2/6/02	FEMALE	Z82	116	Z82	J88	S	REMOVE	2000	NA
91I	12/9/97	NA	2/6/02	MALE	Z86	116	Z86	J19	R	REMOVE	1998	NA
